"No.","Time","Source","Destination","Protocol","Length","Info"
"950","34.900739","163.70.145.174","192.168.1.12","QUIC","90","Protected Payload (KP0)"
"951","34.901073","192.168.1.12","163.70.145.174","QUIC","80","Protected Payload (KP0), DCID=b400273719edc8bc"
"952","34.933232","192.168.1.12","163.70.145.174","QUIC","77","Protected Payload (KP0), DCID=b400273719edc8bc"
"953","34.933488","163.70.145.174","192.168.1.12","QUIC","90","Protected Payload (KP0)"
"954","35.530007","192.168.1.12","20.195.65.193","TLSv1.2","82","Application Data"
"955","35.616977","20.195.65.193","192.168.1.12","TCP","60","443  >  19713 [ACK] Seq=55 Ack=150 Win=671 Len=0"
"956","35.890689","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=37780 Ack=83697 Win=510 Len=76 [TCP PDU reassembled in 1328]"
"957","35.906508","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=83697 Ack=37856 Win=5544 Len=0"
"958","36.465760","20.195.65.193","192.168.1.12","TLSv1.2","81","Application Data"
"959","36.510877","192.168.1.12","20.195.65.193","TCP","54","19713  >  443 [ACK] Seq=150 Ack=82 Win=1023 Len=0"
"960","36.541499","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"961","36.555770","142.250.77.234","192.168.1.12","UDP","68","443  >  51620 Len=26"
"962","36.893445","192.168.1.12","43.204.162.27","TCP","122","19944  >  6001 [PSH, ACK] Seq=137 Ack=109 Win=254 Len=68"
"963","36.938355","43.204.162.27","192.168.1.12","X11","108","Event: Sent-<Unknown eventcode 45>Event: <Unknown eventcode 42>"
"964","36.978677","192.168.1.12","43.204.162.27","TCP","54","19944  >  6001 [ACK] Seq=205 Ack=163 Win=254 Len=0"
"965","37.103302","192.168.1.12","172.64.148.235","TLSv1.2","144","Application Data"
"966","37.117937","172.64.148.235","192.168.1.12","TCP","60","443  >  19949 [ACK] Seq=209 Ack=327 Win=16 Len=0"
"967","37.295823","172.64.148.235","192.168.1.12","TLSv1.2","134","Application Data"
"968","37.348311","192.168.1.12","172.64.148.235","TCP","54","19949  >  443 [ACK] Seq=327 Ack=289 Win=252 Len=0"
"969","37.376609","103.164.205.224","192.168.1.12","TLSv1.2","78","Application Data"
"970","37.376609","103.164.205.224","192.168.1.12","TCP","54","443  >  20110 [FIN, ACK] Seq=64 Ack=1 Win=123 Len=0"
"971","37.376704","192.168.1.12","103.164.205.224","TCP","54","20110  >  443 [ACK] Seq=1 Ack=65 Win=1023 Len=0"
"972","37.881188","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=37856 Ack=83697 Win=510 Len=76 [TCP PDU reassembled in 1328]"
"973","37.895390","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=83697 Ack=37932 Win=5544 Len=0"
"974","38.832269","Digisol_03:e8:e0","Broadcast","ARP","60","Who has 192.168.1.12? Tell 192.168.1.1"
"975","38.832289","AzureWaveTec_e5:a6:9d","Digisol_03:e8:e0","ARP","42","192.168.1.12 is at 2c:3b:70:e5:a6:9d"
"976","38.832776","Digisol_03:e8:e0","Broadcast","ARP","60","Who has 192.168.1.9? Tell 192.168.1.1"
"977","38.833906","Digisol_03:e8:e0","Broadcast","ARP","60","Who has 192.168.1.2? Tell 192.168.1.1"
